ID,Lat,Lng,Lat-Offset,Lng-Offset,Meter_ID,NMI,"Node Type (0=customer, 1=pole)"
0,145.1128,-37.9013,6.936530612051683,-4.015306122440165,,,2
1,145.111116,-37.900492,-9.90346938777975,4.064693877552372,1F15d9e1,2.0,0
2,145.112865,-37.900424,7.586530612115894,4.74469387754084,D87CC65F,4.0,0
3,145.112699,-37.90041,5.926530612043734,4.884693877542645,2Ee00d7b,5.0,0
4,145.112785,-37.901046,6.78653061214618,-1.4753061224581643,02bF393f,9.0,0
5,145.112495,-37.900664,3.8865306120783316,2.344693877560644,5C087De1,11.0,0
6,145.112401,-37.900652,2.9465306121778667,2.4646938775418903,9fAaAb5b,12.0,0
7,145.112814,-37.900702,7.0765306119824345,1.964693877525292,fbcbcccE,13.0,0
8,145.111636,-37.901067,-4.703469387834502,-1.6853061224253452,5e3dc87a,16.0,0
9,145.111976,-37.901109,-1.3034693878921644,-2.105306122430761,4b9eE49a,19.0,0
10,145.111899,-37.900595,-2.073469387937621,3.034693877523864,16E2Bc0E,20.0,0
11,145.112147,-37.90113,0.40653061205375707,-2.3153061224689964,78df8CB0,23.0,0
12,145.111684,-37.900574,-4.2234693879095175,3.2446938775620993,aeBdb674,24.0,0
13,145.111376,-37.900481,-7.303469387807127,4.174693877558866,,,1
14,145.112098,-37.900479,-0.08346938784598024,4.194693877579425,,,1
15,145.112604,-37.900542,4.976530612168517,3.564693877535774,,,1
16,145.113044,-37.900597,9.376530612144052,3.0146938775743592,,,1
17,145.111979,-37.901246,-1.273469387967907,-3.475306122453503,,,1
18,145.112661,-37.901324,5.546530612150491,-4.255306122473712,,,1
19,145.113003,-37.900911,8.966530612042334,-0.1253061224559815,,,1
20,145.111743,-37.901109,-3.633469387978039,-2.105306122430761,d2Eec1F9,1.0,0
21,145.110945,-37.900977,-11.61346938800989,-0.78530612242389,eda1beBe,3.0,0
22,145.11101,-37.900643,-10.963469387945679,2.554693877527825,bD9E4776,6.0,0
23,145.11208,-37.900625,-0.2634693879599581,2.7346938775707486,4c096bc3,7.0,0
24,145.112796,-37.900986,6.896530612152674,-0.8753061224808789,3eE872dE,8.0,0
25,145.112454,-37.900985,3.476530612260831,-0.8653061224350722,0e5e29DA,10.0,0
26,145.111283,-37.901025,-8.233469388017056,-1.2653061224199291,d5dAbBef,15.0,0
27,145.111453,-37.901037,-6.53346938776167,-1.3853061224722296,719bc3Eb,21.0,0
28,145.112316,-37.90115,2.0965306120501737,-2.515306122461425,83d92dCC,25.0,0
29,145.11175,-37.901239,-3.563469387870555,-3.4053061224170733,,,1
30,145.111143,-37.90077,-9.633469387893001,1.2846938775368244,,,1
31,145.111167,-37.901144,-9.393469387930509,-2.4553061224708017,,,1
32,145.111448,-37.901181,-6.583469387919649,-2.825306122460347,,,1
33,145.112346,-37.901288,2.3965306121453978,-3.895306122458919,,,1
34,145.112661,-37.901324,5.546530612150491,-4.255306122473712,,,1
35,145.112604,-37.900542,4.976530612168517,3.564693877535774,,,1
36,145.112814,-37.900886,7.0765306119824345,0.12469387755231764,AE497F56,14.0,0
37,145.112646,-37.900688,5.396530612244987,2.1046938775270974,Ce5aea44,17.0,0
38,145.112273,-37.900637,1.666530611998951,2.614693877518448,b96Cb1A1,18.0,0
39,145.111104,-37.901284,-10.023469387760997,-3.855306122417801,089FaABE,22.0,0
40,145.112767,-37.901193,6.606530612032202,-2.9453061224415933,47Ee0ADc,26.0,0
41,145.110889,-37.901262,-12.17346938801711,-3.6353061224758676,12C18Dc2,27.0,0
42,145.111419,-37.900641,-6.873469387755904,2.574693877548384,3C3EFfF2,28.0,0
43,145.112098,-37.900479,-0.08346938784598024,4.194693877579425,,,1
44,145.112604,-37.900542,4.976530612168517,3.564693877535774,,,1
45,145.111167,-37.901144,-9.393469387930509,-2.4553061224708017,,,1
46,145.112346,-37.901288,2.3965306121453978,-3.895306122458919,,,1
47,145.1128,-37.9013,6.936530612051683,-4.015306122440165,,,1
48,145.113003,-37.900911,8.966530612042334,-0.1253061224559815,,,1
