From,To,R,X
0,35,0.09427372004348444,0.0001
35,38,0.027168099371094018,0.0001
38,39,0.08766295916537412,0.04150780971363969
39,1,0.026048967743619245,0.08766295916537412
35,34,0.007297591135231671,0.0001
34,30,0.028959056586988854,0.0001
30,2,0.1366587245177461,0.0001
35,36,0.0001,0.2024195349181654
36,3,0.3026552184526651,0.12195544563115282
30,33,0.0001,0.0001
33,32,0.07550011731382267,0.0001
32,4,0.0001,0.0001
30,5,0.0001,0.0001
35,6,0.16169844682441853,0.4386936456499814
32,7,0.0001,0.10863936777912224
30,31,0.02778782562623385,0.0001
31,8,0.20083059281770213,0.5843252890198207
38,9,0.0001,0.0001
31,10,0.19250721941294024,0.14600694179886525
38,11,0.21985059011491734,0.0001
39,12,0.0001,0.0001
36,37,0.0001,0.016674343913060052
37,13,0.0001,0.0052070056611991525
30,14,0.0001,0.006995319043128856
33,15,0.0001,0.0001
36,16,0.031179171374666154,0.11501404967292937
32,17,0.045353725690033424,0.06424714261366896
34,18,0.08500140664068763,0.0001
36,19,0.0001,0.1655268501302849
32,20,0.09325539013203575,0.02099252572556023
31,21,0.0001,0.0001
37,22,0.006358441250103918,0.0654828657780725
34,23,0.0001,0.0001
31,24,0.0001,0.07658056808001587
33,25,0.0001,0.0001
31,26,0.0001,0.0001
38,27,0.21341892511522814,0.0001
31,28,0.0001,0.0001
31,29,0.18134856081231446,0.0001
