From,To,R,X
0,19,0.0075907779894544,0.0001
19,20,0.0001,0.0236133746368103
20,21,0.0120280028266101,0.0196737303724
21,23,0.0001,0.0001
23,1,0.1188178621408614,0.0001
23,14,0.0001,0.0001
14,2,0.0623391998018478,0.0001
21,3,0.0964649003662176,0.0001
20,4,0.0001,0.0001
19,18,0.0068663218718346,0.0303501601577506
18,15,0.0454112299717501,0.2231283019226584
15,5,0.0805877300964333,0.2109544489837826
15,16,0.0292773900633051,0.0001
16,17,0.0001,0.0001
17,22,0.0082591848705632,0.0001
22,6,0.0001,0.0001
22,7,0.04351537879699,0.4113737702525336
14,8,0.0001,0.0001545402030524
18,9,0.0001,0.216116853015351
22,10,0.0001,0.2315573264196622
17,11,0.0541341440839148,0.1244095361178366
20,12,0.0001,0.0001
16,13,0.0464750687422175,0.1404211227667504
0,47,0.0092658364600422,0.0001
47,24,0.0121001944940155,0.0001
47,25,0.0227514973431736,0.0548585789700634
47,48,0.0262200563824583,0.0230841087086947
48,49,0.0001,0.0001
49,51,0.0001,0.0078034111172317
51,26,0.0001,0.0001
51,43,0.0306866237190363,0.0524100243250921
43,27,0.0493714207517143,0.3306958829022535
43,28,0.0178899216049933,0.0001
43,29,0.1721054739928685,0.0058545923518161
47,46,0.0173464239569688,0.0001892567115308
46,44,0.0517876148274487,0.0001
44,45,0.0247829558433224,0.0001
45,30,0.1182025219996449,0.0001
45,31,0.0492597267846024,0.0001
47,32,0.0001,0.0060367447403741
46,33,0.1050418898786188,0.2031197369840731
43,34,0.0001,0.0001
45,50,0.0001,0.0442620835515455
50,35,0.0361530034627726,0.1284647873524029
48,36,0.0819232183210281,0.0001
47,37,0.0001,0.0001
49,38,0.0001,0.1327006482000132
49,39,0.0001,0.3349356303352316
44,40,0.0001,0.1036730928354959
44,41,0.0389581870443154,0.0048982326478471
50,42,0.0278542864944202,0.0001
0,72,0.0038139927316618,0.0001
72,73,0.0001,0.0260608124097175
73,74,0.0102050166425325,0.0193713041755659
74,52,0.0012372329287782,0.0366401516902394
74,68,0.0997029647194576,0.0001
68,53,0.1389594459095371,0.1033413257653301
72,71,0.0277972515409469,0.0001
71,69,0.0095883879834467,0.0001
69,70,0.0051442263864143,0.0047315161727701
70,75,0.0600348673331676,0.0001
75,54,0.0001,0.0001
75,76,0.0001,0.0001
76,77,0.0366401516902394,0.0001
77,55,0.0001,0.157577983306241
76,56,0.0719369346696141,0.0001
77,57,0.0001,0.0001
70,58,0.1584590144400066,0.3635891597479785
68,59,0.0194796816128748,0.0001
77,60,0.0132624657897456,0.0001
71,61,0.0640326608883622,0.0454597151536625
69,62,0.0422588066558965,0.0001
72,63,0.0001,0.0165690193089033
75,64,0.0322502096968781,0.2662936915604767
68,65,0.0058720969087582,0.0001
73,66,0.0959617629458742,0.0001
70,67,0.0507937530801851,0.0001
